1,5,1448651209,10717
1,11,1375254229,32035
2,8,1557163903,5763
2,20,1260120513,30864
3,16,1310309302,12855
3,15,1565518423,21791
3,17,1151372628,35139
3,2,1577684929,12535
4,16,1402012875,16663
4,8,1258065520,28376
5,1,1366304855,8918
5,14,1281840806,24912
5,12,1514484954,32549
5,18,1077388126,16163
6,19,1576115085,42107
6,15,1356520958,24436
6,16,1330556159,34193
6,5,1525401753,24401
7,11,1020829980,8031
7,2,1456547279,39507
7,6,1485960345,41966
8,10,1276610664,20680
8,4,1465920279,20482
9,6,1303123398,10037
9,15,1455690783,29407
10,9,1501727034,21697
10,12,972417106,5709
10,13,1425534500,20854
11,3,1556269074,35104
11,6,1549100381,10461
11,4,1030023602,12546
11,5,1553902959,16176
12,16,1172901868,32684
12,7,1219016074,13516
12,17,1366935877,41960
12,14,1155788755,25419
13,5,1222295134,7454
13,7,1198195981,12804
13,7,1036744366,7722
13,18,1229484868,22240
14,17,1126416435,32497
14,16,1086485574,29362
15,19,1213160492,26025
15,9,1438516743,37867
16,6,1065935030,11612
16,7,1101492817,28102
17,8,994394319,16118
17,3,1014949528,23378
18,7,1257587311,8158
18,16,1045228436,12652
18,20,1199502555,33352
18,13,1003847565,32427
19,8,1206138264,30471
19,13,1181468422,24902
20,14,1341681837,22878
20,16,1433874375,21372
20,10,1521907222,23619
