1,32,1494589236,38210
1,45,1033611555,22868
1,74,1141021479,17487
1,8,1436658673,28270
1,25,1448132020,11781
1,90,1127541591,30997
1,98,1474655255,22564
1,67,1311758690,23603
2,45,1277757559,34416
2,92,1201795374,28559
2,80,1498659288,18731
2,16,1254165916,7090
2,38,950406324,24174
2,87,1494090580,15571
2,35,1011836082,7987
2,30,1339232863,3666
2,100,1287395121,28605
3,48,1130683669,34482
3,20,1162590764,19799
3,67,1273236707,21142
3,75,1128378295,39119
3,93,1020635580,16419
3,49,1253608231,6576
3,69,1505454509,17683
4,50,1111537112,4015
4,76,1117990760,17739
4,34,1285514535,10478
4,54,1223844529,42702
4,19,1185764273,28273
4,100,1335064575,31441
4,3,1544967757,35305
5,38,1309399065,29134
5,45,1509741440,26787
5,96,1524859805,38474
5,87,1354185534,22228
5,24,948787593,33012
5,41,1259967626,6052
5,69,1351534514,42826
6,76,1112294221,11719
6,75,1201490402,12596
6,29,1029799466,13098
6,82,1372409083,7177
6,8,1227193865,12522
6,29,1551102432,21060
6,29,1240966565,32605
7,89,1294672871,18455
7,20,1475361462,16906
7,44,992376876,38820
7,43,1286840271,5929
7,27,1499919580,34702
8,79,1334702294,7182
8,49,965424748,32909
8,51,1110485103,11604
8,26,1037502782,12187
8,77,1236883151,28092
8,51,1066102523,7368
8,56,1033246779,4219
8,34,1152845630,20230
8,63,1515015048,4878
9,23,1574230643,35428
9,55,1237409432,22311
9,73,1470019162,29520
9,27,1504952424,18316
9,8,1320758120,23200
9,72,1201810606,22733
9,54,1339449333,33868
10,39,1561861135,18456
10,30,1227596339,17925
10,19,997891775,41237
10,86,1295933463,27553
10,77,1405743850,30313
10,20,1515868009,32487
11,37,1426177113,37013
11,47,1472080712,4683
11,74,1166806244,38127
11,38,1125341033,13739
11,95,1039116259,8232
11,100,1543527594,15934
12,23,1063091712,9792
12,68,981770107,32136
12,35,1482713406,17789
12,68,1055391521,29905
12,89,1457642496,32043
12,17,1176113096,5364
13,59,1476239636,24819
13,18,1521621359,34623
13,17,1093342485,13237
13,27,1265819163,42383
13,17,1459392994,13734
13,77,1444440881,28844
13,22,1357980585,36957
13,29,1003626675,17869
14,69,1357005727,10055
14,56,984028058,40124
14,94,1278190290,19590
